-999 -999 -999    13.70000 -999.00000   17.95286 -999.00000 -999.00000
-999 -999 -999    13.60000 -999.00000   17.81055 -999.00000 -999.00000
-999 -999 -999    11.30000 -999.00000   17.53309 -999.00000 -999.00000
-999 -999 -999    11.60000 -999.00000   17.17375 -999.00000 -999.00000
-999 -999 -999    10.90000 -999.00000   16.85155 -999.00000 -999.00000
-999 -999 -999    11.40000 -999.00000   16.57081 -999.00000 -999.00000
-999 -999 -999    12.10000 -999.00000   16.40676 -999.00000 -999.00000
-999 -999 -999    13.40000 -999.00000   16.38530 -999.00000 -999.00000
-999 -999 -999    12.60000 -999.00000   16.39692 -999.00000 -999.00000
-999 -999 -999    13.50000 -999.00000   16.41363 -999.00000 -999.00000
-999 -999 -999    13.40000 -999.00000   16.47600 -999.00000 -999.00000
-999 -999 -999    16.40000 -999.00000   16.70299 -999.00000 -999.00000
-999 -999 -999    19.60000 -999.00000   17.27911 -999.00000 -999.00000
-999 -999 -999    16.00000 -999.00000   17.77766 -999.00000 -999.00000
-999 -999 -999    14.00000 -999.00000   17.85376 -999.00000 -999.00000
-999 -999 -999    11.50000 -999.00000   17.61948 -999.00000 -999.00000
-999 -999 -999    11.80000 -999.00000   17.28033 -999.00000 -999.00000
-999 -999 -999    14.70000 -999.00000   17.20194 -999.00000 -999.00000
-999 -999 -999    17.10000 -999.00000   17.46931 -999.00000 -999.00000
-999 -999 -999    16.60000 -999.00000   17.82684 -999.00000 -999.00000
-999 -999 -999    17.80000 -999.00000   18.18875 -999.00000 -999.00000
-999 -999 -999    18.30000 -999.00000   18.62284 -999.00000 -999.00000
-999 -999 -999    17.20000 -999.00000   18.96127 -999.00000 -999.00000
-999 -999 -999    18.20000 -999.00000   19.24650 -999.00000 -999.00000
-999 -999 -999    16.70000 -999.00000   19.45295 -999.00000 -999.00000
-999 -999 -999    18.20000 -999.00000   19.62722 -999.00000 -999.00000
-999 -999 -999    19.80000 -999.00000   20.01283 -999.00000 -999.00000
-999 -999 -999    17.90000 -999.00000   20.31751 -999.00000 -999.00000
-999 -999 -999    16.50000 -999.00000   20.30312 -999.00000 -999.00000
-999 -999 -999    14.20000 -999.00000   19.98759 -999.00000 -999.00000
-999 -999 -999    13.80000 -999.00000   19.51980 -999.00000 -999.00000
-999 -999 -999    15.40000 -999.00000   19.24027 -999.00000 -999.00000
-999 -999 -999    13.00000 -999.00000   18.95247 -999.00000 -999.00000
-999 -999 -999    12.80000 -999.00000   18.52686 -999.00000 -999.00000
-999 -999 -999    13.70000 -999.00000   18.23083 -999.00000 -999.00000
-999 -999 -999    14.00000 -999.00000   18.06837 -999.00000 -999.00000
-999 -999 -999    13.30000 -999.00000   17.90387 -999.00000 -999.00000
-999 -999 -999    14.00000 -999.00000   17.76443 -999.00000 -999.00000
-999 -999 -999    16.60000 -999.00000   17.86361 -999.00000 -999.00000
-999 -999 -999    19.00000 -999.00000   18.28045 -999.00000 -999.00000
-999 -999 -999    20.80000 -999.00000   18.93609 -999.00000 -999.00000
-999 -999 -999    21.70000 -999.00000   19.71701 -999.00000 -999.00000
-999 -999 -999    23.10000 -999.00000   20.59167 -999.00000 -999.00000
-999 -999 -999    23.20000 -999.00000   21.49177 -999.00000 -999.00000
-999 -999 -999    24.10000 -999.00000   22.36731 -999.00000 -999.00000
-999 -999 -999    23.80000 -999.00000   23.17344 -999.00000 -999.00000
-999 -999 -999    24.30000 -999.00000   23.86511 -999.00000 -999.00000
-999 -999 -999    22.90000 -999.00000   24.32536 -999.00000 -999.00000
-999 -999 -999    23.90000 -999.00000   24.63675 -999.00000 -999.00000
-999 -999 -999    23.90000 -999.00000   24.98683 -999.00000 -999.00000
-999 -999 -999    23.70000 -999.00000   25.22466 -999.00000 -999.00000
-999 -999 -999    19.90000 -999.00000   24.91026 -999.00000 -999.00000
-999 -999 -999    21.20000 -999.00000   24.38456 -999.00000 -999.00000
-999 -999 -999    24.60000 -999.00000   24.54395 -999.00000 -999.00000
-999 -999 -999    20.30000 -999.00000   24.55522 -999.00000 -999.00000
-999 -999 -999    15.20000 -999.00000   23.47266 -999.00000 -999.00000
-999 -999 -999    16.90000 -999.00000   22.36987 -999.00000 -999.00000
-999 -999 -999    22.00000 -999.00000   22.25303 -999.00000 -999.00000
-999 -999 -999    19.10000 -999.00000   22.36850 -999.00000 -999.00000
-999 -999 -999    16.10000 -999.00000   21.88360 -999.00000 -999.00000
-999 -999 -999    19.60000 -999.00000   21.55966 -999.00000 -999.00000
-999 -999 -999    22.20000 -999.00000   21.85791 -999.00000 -999.00000
-999 -999 -999    16.10000 -999.00000   21.77145 -999.00000 -999.00000
-999 -999 -999    15.30000 -999.00000   21.06154 -999.00000 -999.00000
-999 -999 -999    16.00000 -999.00000   20.51575 -999.00000 -999.00000
-999 -999 -999    17.80000 -999.00000   20.29839 -999.00000 -999.00000
-999 -999 -999    20.10000 -999.00000   20.45478 -999.00000 -999.00000
-999 -999 -999    21.00000 -999.00000   20.84439 -999.00000 -999.00000
-999 -999 -999    19.00000 -999.00000   21.07328 -999.00000 -999.00000
-999 -999 -999    13.70000 -999.00000   20.62064 -999.00000 -999.00000
-999 -999 -999    12.40000 -999.00000   19.70992 -999.00000 -999.00000
-999 -999 -999    12.40000 -999.00000   18.91720 -999.00000 -999.00000
-999 -999 -999    13.80000 -999.00000   18.40119 -999.00000 -999.00000
-999 -999 -999    15.50000 -999.00000   18.19899 -999.00000 -999.00000
-999 -999 -999    14.90000 -999.00000   18.10205 -999.00000 -999.00000
-999 -999 -999    12.80000 -999.00000   17.83235 -999.00000 -999.00000
-999 -999 -999    15.00000 -999.00000   17.61084 -999.00000 -999.00000
-999 -999 -999    13.90000 -999.00000   17.49301 -999.00000 -999.00000
-999 -999 -999    14.00000 -999.00000   17.32423 -999.00000 -999.00000
-999 -999 -999    13.40000 -999.00000   17.14552 -999.00000 -999.00000
-999 -999 -999    14.00000 -999.00000   16.99008 -999.00000 -999.00000
-999 -999 -999    16.10000 -999.00000   17.02097 -999.00000 -999.00000
-999 -999 -999    12.70000 -999.00000   16.96250 -999.00000 -999.00000
-999 -999 -999    10.10000 -999.00000   16.53715 -999.00000 -999.00000
-999 -999 -999     9.70000 -999.00000   16.00023 -999.00000 -999.00000
-999 -999 -999     8.70000 -999.00000   15.47152 -999.00000 -999.00000
-999 -999 -999     8.80000 -999.00000   14.97726 -999.00000 -999.00000
-999 -999 -999     9.90000 -999.00000   14.61966 -999.00000 -999.00000
-999 -999 -999     9.90000 -999.00000   14.36503 -999.00000 -999.00000
-999 -999 -999     8.80000 -999.00000   14.08582 -999.00000 -999.00000
-999 -999 -999     8.90000 -999.00000   13.79132 -999.00000 -999.00000
-999 -999 -999     7.50000 -999.00000   13.47029 -999.00000 -999.00000
-999 -999 -999     7.10000 -999.00000   13.10481 -999.00000 -999.00000
-999 -999 -999     6.50000 -999.00000   12.73905 -999.00000 -999.00000
-999 -999 -999     7.20000 -999.00000   12.42071 -999.00000 -999.00000
-999 -999 -999     6.40000 -999.00000   12.13327 -999.00000 -999.00000
-999 -999 -999     7.60000 -999.00000   11.89219 -999.00000 -999.00000
-999 -999 -999    11.50000 -999.00000   11.87822 -999.00000 -999.00000
-999 -999 -999    11.90000 -999.00000   12.03398 -999.00000 -999.00000
-999 -999 -999    11.30000 -999.00000   12.16655 -999.00000 -999.00000
-999 -999 -999    13.20000 -999.00000   12.33855 -999.00000 -999.00000
-999 -999 -999    14.40000 -999.00000   12.62269 -999.00000 -999.00000
-999 -999 -999    12.60000 -999.00000   12.85807 -999.00000 -999.00000
-999 -999 -999     8.90000 -999.00000   12.83307 -999.00000 -999.00000
-999 -999 -999     9.50000 -999.00000   12.67267 -999.00000 -999.00000
-999 -999 -999     9.90000 -999.00000   12.56912 -999.00000 -999.00000
-999 -999 -999     9.70000 -999.00000   12.48135 -999.00000 -999.00000
-999 -999 -999    11.40000 -999.00000   12.46220 -999.00000 -999.00000
-999 -999 -999    12.20000 -999.00000   12.54647 -999.00000 -999.00000
-999 -999 -999    13.50000 -999.00000   12.70886 -999.00000 -999.00000
-999 -999 -999    13.70000 -999.00000   12.91895 -999.00000 -999.00000
-999 -999 -999     9.20000 -999.00000   12.92114 -999.00000 -999.00000
